problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ012-1.C1i2_all_ld-1-2;Mono;1;SOLAR-Inc;0;1;169;77;12;29;0;0;0;0;77;12;29;0;0;0;0;77;12;29;0;0;0;0;77;12;29;0;0;0;0
PUZ012-1.C1i2_all_ld-1-2;Mono;1;Solar-Carc;0;1;130;72;12;26;0;0;0;0;72;12;26;0;0;0;0;72;12;26;0;0;0;0;72;12;26;0;0;0;0
PUZ012-1.C1i2_all_ld-1-2;Mono;1;Solar;0;1;121;70;12;26;0;0;0;0;70;12;26;0;0;0;0;70;12;26;0;0;0;0;70;12;26;0;0;0;0
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-Star;0;1;1461;74;17;58;0;0;11;7;66;8;23;0;0;6;4;3;3;14;0;0;2;1;5;6;23;0;0;6;2
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-Star-FixedRoot-1;0;1;1201;79;17;58;0;0;11;7;70;8;23;0;0;6;4;3;3;14;0;0;2;1;3;3;14;0;0;3;1
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-Star-FixedRoot-2;0;1;1195;75;14;49;0;0;9;5;68;8;21;0;0;5;3;3;3;14;0;0;2;1;4;3;14;0;0;2;1
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-Async;0;1;1194;77;14;49;0;0;10;7;69;8;21;0;0;4;3;3;3;14;0;0;3;2;5;3;14;0;0;3;2
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-NewAsync;0;1;1191;77;14;49;0;0;10;7;69;8;21;0;0;4;3;3;3;14;0;0;3;2;5;3;14;0;0;3;2
PUZ012-1.C1i2_all_ld-1-2;_agent3;3;DICF-PB-Token;0;1;1204;77;20;67;0;0;11;14;68;8;23;0;0;5;5;4;6;21;0;0;3;4;5;6;23;0;0;3;4
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Star;0;5;1376;111;80;247;0;0;22;39;43;29;85;0;0;11;18;10;8;33;0;0;3;5;18;29;85;0;0;11;18
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-NewAsync;0;1;1279;91;15;57;0;0;20;16;41;8;25;0;0;7;6;4;1;4;0;0;4;3;5;3;14;0;0;4;3
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Star-FixedRoot-1;0;5;1226;116;80;247;0;0;22;39;45;29;85;0;0;11;18;11;8;33;0;0;3;5;11;23;67;0;0;4;5
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Star-FixedRoot-2;0;5;1228;93;74;213;0;0;16;33;72;23;61;0;0;8;18;6;8;32;0;0;2;5;8;23;60;0;0;3;5
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token;0;5;1228;105;83;240;0;0;15;50;76;26;69;0;0;5;16;8;11;41;0;0;3;8;11;26;69;0;0;3;8
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Async;0;5;1280;96;74;229;0;0;31;68;39;23;67;0;0;9;20;10;8;33;0;0;7;15;11;23;67;0;0;7;15
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-2-1-3-0;0;5;1228;115;86;267;0;0;22;52;73;29;86;0;0;7;16;8;11;42;0;0;5;8;20;29;86;0;0;5;15
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-2-3-1-0;0;5;1220;98;83;240;0;0;13;50;71;26;69;0;0;4;16;8;11;41;0;0;2;8;9;26;69;0;0;4;13
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-3-1-0-2;0;5;1227;105;83;255;0;0;16;50;66;26;76;0;0;5;16;10;11;42;0;0;3;8;12;26;76;0;0;5;13
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-3-0-2-1;0;5;1222;115;86;267;0;0;20;52;66;29;87;0;0;6;16;10;11;43;0;0;3;8;27;29;87;0;0;6;15
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-1-2-3-0;0;5;1215;104;83;240;0;0;14;50;73;26;69;0;0;5;16;9;11;41;0;0;2;8;11;26;69;0;0;2;8
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-2-0-3-1;0;5;1264;113;86;267;0;0;22;52;72;29;86;0;0;7;16;8;11;42;0;0;5;8;14;26;77;0;0;5;8
PUZ012-1.C1i2_all_ld-1-2;_agent4;4;DICF-PB-Token-FixedOrder-3-1-2-0;0;5;1221;112;86;267;0;0;20;52;65;29;87;0;0;6;16;10;11;43;0;0;3;8;12;26;76;0;0;3;8
